127.0.0.1 - - [12/Jul/2018:21:43:08 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [12/Jul/2018:21:48:01 +0530] "GET /SamundiAgencies/ HTTP/1.1" 500 37252
0:0:0:0:0:0:0:1 - - [12/Jul/2018:21:48:59 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [12/Jul/2018:21:51:28 +0530] "GET /SamundiAgencies/ HTTP/1.1" 200 7121
0:0:0:0:0:0:0:1 - - [12/Jul/2018:21:51:28 +0530] "GET /SamundiAgencies/resources/css/dataTables.bootstrap.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [12/Jul/2018:21:51:28 +0530] "GET /SamundiAgencies/resources/css/datatables.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [12/Jul/2018:21:51:28 +0530] "GET /SamundiAgencies/resources/js/jquery.dataTables.min.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [12/Jul/2018:21:51:28 +0530] "GET /SamundiAgencies/resources/css/ss.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [12/Jul/2018:21:51:28 +0530] "GET /SamundiAgencies/resources/js/dataTables.bootstrap.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [12/Jul/2018:21:51:28 +0530] "GET /SamundiAgencies/resources/css/datatables.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [12/Jul/2018:21:51:30 +0530] "GET /SamundiAgencies/resources/css/ss.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [12/Jul/2018:21:51:30 +0530] "GET /SamundiAgencies/resources/css/dataTables.bootstrap.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [12/Jul/2018:21:51:30 +0530] "GET /SamundiAgencies/resources/css/datatables.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [12/Jul/2018:21:51:30 +0530] "GET /SamundiAgencies/resources/css/datatables.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [12/Jul/2018:21:51:30 +0530] "GET /SamundiAgencies/resources/js/jquery.dataTables.min.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [12/Jul/2018:21:51:30 +0530] "GET /SamundiAgencies/resources/js/dataTables.bootstrap.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [12/Jul/2018:21:58:51 +0530] "GET /SamundiAgencies/ HTTP/1.1" 200 7643
0:0:0:0:0:0:0:1 - - [12/Jul/2018:21:58:51 +0530] "GET /SamundiAgencies/resources/js/dataTables.bootstrap.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [12/Jul/2018:21:58:51 +0530] "GET /SamundiAgencies/resources/css/ss.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [12/Jul/2018:21:58:51 +0530] "GET /SamundiAgencies/resources/css/datatables.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [12/Jul/2018:21:58:51 +0530] "GET /SamundiAgencies/resources/css/datatables.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [12/Jul/2018:21:58:51 +0530] "GET /SamundiAgencies/resources/js/jquery.dataTables.min.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [12/Jul/2018:21:58:51 +0530] "GET /SamundiAgencies/resources/css/dataTables.bootstrap.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [12/Jul/2018:21:58:51 +0530] "GET /SamundiAgencies/resources/css/dataTables.bootstrap.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [12/Jul/2018:21:58:51 +0530] "GET /SamundiAgencies/resources/css/datatables.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [12/Jul/2018:21:58:51 +0530] "GET /SamundiAgencies/resources/css/ss.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [12/Jul/2018:21:58:51 +0530] "GET /SamundiAgencies/resources/css/datatables.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [12/Jul/2018:21:58:51 +0530] "GET /SamundiAgencies/resources/js/jquery.dataTables.min.js HTTP/1.1" 404 992
