127.0.0.1 - - [08/Aug/2018:16:40:26 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [08/Aug/2018:16:40:34 +0530] "GET /SamundiAgencies/ HTTP/1.1" 200 8949
0:0:0:0:0:0:0:1 - - [08/Aug/2018:16:52:48 +0530] "GET /SamundiAgencies/ HTTP/1.1" 200 8949
0:0:0:0:0:0:0:1 - - [08/Aug/2018:16:52:49 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [08/Aug/2018:16:52:59 +0530] "GET /SamundiAgencies/login HTTP/1.1" 200 9837
0:0:0:0:0:0:0:1 - - [08/Aug/2018:16:53:26 +0530] "POST /SamundiAgencies/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Aug/2018:16:53:26 +0530] "GET /SamundiAgencies/ HTTP/1.1" 200 8853
0:0:0:0:0:0:0:1 - - [08/Aug/2018:16:53:32 +0530] "GET /SamundiAgencies/Cmpny_Exp HTTP/1.1" 200 11673
0:0:0:0:0:0:0:1 - - [08/Aug/2018:16:53:44 +0530] "GET /SamundiAgencies/Report_Cmpny_Exp HTTP/1.1" 200 10112
0:0:0:0:0:0:0:1 - - [08/Aug/2018:16:53:53 +0530] "POST /SamundiAgencies/Report_Cmpny_Exp_Data HTTP/1.1" 200 11066
0:0:0:0:0:0:0:1 - - [08/Aug/2018:16:53:53 +0530] "GET /resources/css/datatables.css HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [08/Aug/2018:16:53:53 +0530] "GET /resources/css/datatables.min.css HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [08/Aug/2018:16:53:53 +0530] "GET /resources/css/dataTables.bootstrap.min.css HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [08/Aug/2018:16:53:53 +0530] "GET /resources/js/dataTables.bootstrap.min.css HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [08/Aug/2018:16:53:53 +0530] "GET /resources/js/jquery.dataTables.min.js HTTP/1.1" 404 1068
0:0:0:0:0:0:0:1 - - [08/Aug/2018:16:53:53 +0530] "GET /resources/js/jquery.dataTables.min.js HTTP/1.1" 404 1068
0:0:0:0:0:0:0:1 - - [08/Aug/2018:16:53:53 +0530] "GET /resources/js/dataTables.bootstrap.min.css HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [08/Aug/2018:16:53:56 +0530] "GET /SamundiAgencies/Report_Cmpny_Exp HTTP/1.1" 200 10112
0:0:0:0:0:0:0:1 - - [08/Aug/2018:16:54:05 +0530] "POST /SamundiAgencies/Report_Cmpny_Exp_Data HTTP/1.1" 200 11066
0:0:0:0:0:0:0:1 - - [08/Aug/2018:16:54:05 +0530] "GET /resources/css/dataTables.bootstrap.min.css HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [08/Aug/2018:16:54:05 +0530] "GET /resources/css/datatables.css HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [08/Aug/2018:16:54:05 +0530] "GET /resources/css/datatables.min.css HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [08/Aug/2018:16:54:05 +0530] "GET /resources/js/dataTables.bootstrap.min.css HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [08/Aug/2018:16:54:05 +0530] "GET /resources/js/jquery.dataTables.min.js HTTP/1.1" 404 1068
0:0:0:0:0:0:0:1 - - [08/Aug/2018:16:54:05 +0530] "GET /resources/js/jquery.dataTables.min.js HTTP/1.1" 404 1068
0:0:0:0:0:0:0:1 - - [08/Aug/2018:16:54:05 +0530] "GET /resources/js/dataTables.bootstrap.min.css HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [08/Aug/2018:16:54:08 +0530] "GET /SamundiAgencies/Report_Cmpny_Exp HTTP/1.1" 200 10112
